STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
"Kyle Singler
(DET)",Add,GF,26,2,82,28.5,9.6,3.7,0.9,0.5,0.7,0.49,0.38,0.83,1.4,2.3,1,209.2,35,14.4,0.51
"Aaron Brooks
(CHI)",Remove,G,29,6,67,23,9.6,2.1,3.5,0.2,0.8,0.41,0.39,0.87,0.6,1.4,1.7,162.8,42,14.4,0.63
"Nate Robinson *
(DEN)",Add,G,30,9,44,20,10.4,1.8,2.5,0.1,0.8,0.46,0.38,0.84,0.5,1.4,1.3,201.4,47,14.4,0.72
"Patty Mills *
(SAS)",Remove,G,26,5,81,18.8,10.2,2.1,1.8,0.1,0.8,0.5,0.42,0.89,0.4,1.7,0.8,160.3,54,14.3,0.76
"Jermaine ONeal
(*FA)",Add,C,35,18,44,20,7.9,5.5,0.6,0.9,0.3,0.5,0,0.75,1.9,3.6,1.2,142.3,31,14.1,0.7
"Drew Gooden
(WAS)",Add,FC,32,12,22,17.9,8.3,5.1,0.7,0.3,0.5,0.55,0.39,0.89,1.7,3.5,0.8,152.3,42,14.1,0.79
"Jeff Adrien
(HOU)",Add,F,28,4,51,18.7,7.1,5.9,0.7,0.7,0.5,0.52,0,0.64,2,3.9,0.7,155.7,39,14.1,0.75
"Jason Thompson
(SAC)",Remove,FC,28,6,82,24.5,7.1,6.4,0.6,0.7,0.4,0.51,0,0.58,1.9,4.6,1.2,146.9,43,14.1,0.57
"Omer Asik
(NOR)",Remove,C,28,4,48,20.1,5.8,7.9,0.6,0.8,0.3,0.53,0,0.62,2.1,5.8,1.2,97.8,66,14.1,0.7
"Draymond Green
(GSW)",Add,F,24,2,82,21.9,6.2,5,1.9,0.9,1.2,0.45,0.33,0.67,1,3.9,1.1,182.2,43,14,0.64
"Brian Roberts
(CHA)",Remove,G,28,2,72,23.2,9.4,1.9,3.3,0.1,0.6,0.45,0.36,0.94,0.2,1.7,1.3,248,39,13.9,0.6
"Martell Webster *
(WAS)",Remove,GF,27,9,78,27.7,9.7,2.9,1.2,0.2,0.5,0.5,0.39,0.84,0.5,2.4,0.7,246,32,13.8,0.5
"Marcus Thornton
(BOS)",Add,G,27,5,70,24.3,9.8,2.8,1.1,0.2,0.8,0.45,0.34,0.8,0.8,2,0.9,241,39,13.8,0.57
"Ryan Kelly
(LAL)",Add,F,23,1,59,22.3,8,3.7,1.6,0.8,0.5,0.48,0.34,0.81,0.7,3,0.8,193,42,13.8,0.62
"Courtney Lee
(MEM)",Remove,G,28,6,79,25,9.6,2.4,1.5,0.4,0.8,0.53,0.37,0.88,0.4,2,0.9,218.3,39,13.7,0.55
"Devin Harris
(DAL)",Add,G,31,10,40,20.4,7.9,2.1,4.5,0,0.7,0.42,0.31,0.8,0.2,1.9,1.5,194.2,39,13.7,0.67
"Xavier Henry *
(LAL)",Remove,G,23,4,43,21.1,10,2.7,1.2,0.2,1,0.44,0.35,0.66,0.6,2.1,1.3,251.7,32,13.7,0.65
"Mike Scott
(ATL)",Remove,F,26,2,80,18.6,9.6,3.5,0.9,0.1,0.4,0.56,0.31,0.78,0.8,2.8,1,209.3,39,13.6,0.73
"Michael Kidd-Gilchrist
(CHA)",Remove,F,20,2,62,24.2,7.2,5.2,0.8,0.6,0.7,0.48,0.11,0.61,1.8,3.5,1,179.4,43,13.6,0.56
"Mason Plumlee
(BKL)",Add,FC,24,1,68,18.7,7.6,4.5,0.9,0.8,0.7,0.67,0,0.63,1.5,3.1,1.1,113,62,13.5,0.72
"James Johnson
(TOR)",Remove,F,27,5,52,18.4,7.4,3.2,2.1,1.1,0.8,0.55,0.25,0.84,1.2,2,1.3,223,42,13.4,0.73
"Trevor Booker
(UTA)",Add,F,26,4,72,21.6,6.8,5.3,0.9,0.6,0.6,0.55,0,0.62,2.1,3.2,0.8,237.7,39,13.4,0.62
"Kyle OQuinn
(ORL)",Remove,FC,24,2,69,17.2,6.2,5.3,1.1,1.3,0.6,0.51,0,0.69,1.4,3.8,1.1,165,51,13.3,0.77
"Chris Andersen
(MIA)",Remove,C,36,12,72,19.4,6.6,5.3,0.3,1.3,0.4,0.66,0.25,0.71,1.8,3.5,0.7,223,51,13.2,0.68
"CJ Miles
(IND)",Remove,G,27,9,51,19.4,9.9,2,1,0.3,0.9,0.48,0.39,0.85,0.4,1.7,0.9,222.5,42,13.2,0.68
"Giannis Antetokounmpo
(MIL)",Remove,GF,19,1,77,24.7,6.8,4.4,1.9,0.8,0.8,0.44,0.35,0.68,1,3.4,1.6,84.6,70,13.1,0.53
"Mirza Teletovic
(BKL)",Remove,F,28,2,72,19.4,8.6,3.7,0.8,0.3,0.4,0.47,0.39,0.71,0.8,2.9,0.8,136,43,13.1,0.67
"Shelvin Mack
(ATL)",Remove,G,24,3,72,20.7,7.6,2.2,3.8,0,0.7,0.46,0.34,0.86,0.3,1.9,1.3,232.3,32,13,0.63
"Derrick Williams
(SAC)",Remove,F,23,3,76,23.6,8.1,4.2,0.7,0.3,0.6,0.47,0.27,0.72,0.9,3.3,1,191.2,39,12.9,0.55
"Iman Shumpert
(NYK)",Add,GF,24,3,74,26.5,6.7,4.2,1.7,0.2,1.2,0.42,0.33,0.75,1.1,3.1,1.1,169,51,12.9,0.49
"JJ Barea
(MIN)",Add,G,30,8,79,18.6,8.4,1.9,3.8,0,0.3,0.43,0.32,0.79,0.2,1.7,1.6,205.3,47,12.9,0.69
"Jeremy Lamb
(OKL)",Add,G,22,2,78,19.8,8.5,2.4,1.5,0.3,0.7,0.48,0.36,0.8,0.3,2.1,0.8,187.5,43,12.7,0.64
"Manny Harris
(*FA)",Add,G,24,4,9,19.9,8.1,3.8,1.2,0.1,0.4,0.42,0.35,0.83,0.8,3,1,161.7,5,12.7,0.64
"Kosta Koufos
(MEM)",Remove,C,25,6,80,16.9,6.4,5.2,0.5,0.9,0.4,0.49,0,0.65,2,3.2,0.9,206.8,47,12.6,0.75
"Luis Scola
(IND)",Remove,FC,34,7,82,17,7.6,4.8,1,0.2,0.3,0.47,0.14,0.73,1,3.7,1.3,135.8,51,12.6,0.74
"Moe Harkless
(ORL)",Remove,F,21,2,80,24.4,7.4,3.3,1,0.6,1.2,0.5,0.38,0.59,0.9,2.4,1.1,248.7,35,12.5,0.51
"Tim Hardaway-Jr
(NYK)",Add,G,22,1,81,23.2,10.2,1.5,0.8,0.1,0.5,0.5,0.36,0.83,0.2,1.3,0.6,155.5,47,12.5,0.54
"Ben McLemore
(SAC)",Remove,G,21,1,82,26.6,8.8,2.9,1,0.2,0.5,0.42,0.32,0.8,0.6,2.2,1.2,150.4,47,12.3,0.46
"Jeremy Evans
(UTA)",Add,F,26,4,66,18.3,6.1,4.7,0.7,0.7,0.6,0.53,0,0.68,1.8,2.9,0.6,200,35,12.2,0.67
"Pero Antic
(ATL)",Add,FC,32,1,49,18.9,7.2,4.3,1.2,0.2,0.4,0.54,0.33,0.76,1.2,3.1,1.1,164.8,43,12.2,0.64
