FAN,STATS,Player,P,Age,Exp,G,MPG,PPG,RPG,APG,BPG,SPG,2pt,3pt,ft,ORPG,DRPG,TPG,ADP,O,FPPG,FPPM
,"Orlando Johnson
(*FA)",Add,G,25,2,51,12.1,4,2.2,0.9,0.2,0.2,0.42,0.38,0.72,0.4,1.8,0.6,235.3,6,9,0.75
,"Kyle OQuinn
(ORL)",Add,FC,24,2,57,11.2,4.1,3.7,0.9,0.5,0.2,0.52,0,0.67,1.1,2.5,0.6,161.5,56,9,0.8
,"Rodrigue Beaubois
(*FA)",Add,G,26,5,44,12.5,4.1,1.3,1.9,0.1,0.4,0.42,0.29,0.79,0.2,1.1,0.8,284.4,6,8.9,0.71
,"Evan Fournier
(ORL)",Add,G,21,2,38,11.3,5.3,0.9,1.2,0,0.5,0.54,0.41,0.77,0.2,0.8,0.8,194.5,44,8.9,0.79
,"Gustavo Ayon *
(ATL)",Add,FC,29,3,54,13.6,3.8,3.7,1.3,0.3,0.4,0.55,0,0.4,1.1,2.6,0.9,208.7,30,8.9,0.65
,"Chuck Hayes
(TOR)",Add,F,31,9,74,16.4,2.7,4.1,1.5,0.2,0.4,0.44,0,0.63,1.6,2.5,0.6,271.2,11,8.9,0.55
,"Jeff Ayres
(SAS)",Add,F,27,4,37,10.4,4,2.9,0.4,0.3,0.2,0.47,0.5,0.91,0.8,2.2,0.6,251.7,18,8.9,0.85
,"Will Barton
(POR)",Add,G,23,2,73,12.2,4,2,0.8,0.1,0.5,0.45,0.14,0.77,0.5,1.5,0.8,226.5,21,8.9,0.73
,"Matt Bonner
(SAS)",Add,F,34,10,68,13.4,4.2,1.9,0.5,0.3,0.2,0.54,0.44,0.73,0.4,1.5,0.2,187.3,2,8.8,0.66
,"Anthony Tolliver
(PHO)",Add,F,29,6,62,15.5,4.1,2.5,0.5,0.2,0.2,0.45,0.34,0.86,0.5,2,0.6,255.6,25,8.8,0.57
,"Victor Claver
(POR)",Add,F,26,2,49,16.6,3.8,2.4,0.9,0.2,0.5,0.48,0.29,0.47,0.6,1.8,0.9,170,2,8.6,0.52
,"Anthony Randolph
(*FA)",Add,F,25,6,39,8.4,3.7,2.4,0.3,0.5,0.5,0.53,0,0.69,0.7,1.7,0.9,220.6,21,8.5,1.02
,"Darius Morris
(POR)",Add,G,23,3,47,14.5,4.1,1.2,1.6,0,0.4,0.4,0.37,0.65,0.5,0.7,1,308.5,2,8.4,0.58
,"Draymond Green
(GSW)",Add,F,24,2,78,13.6,2.9,3.3,0.7,0.3,0.5,0.37,0.21,0.82,0.7,2.6,0.7,168.9,49,8.1,0.59
,"Quincy Acy
(NYK)",Add,F,23,2,29,11.8,4,2.7,0.4,0.5,0.4,0.56,0.5,0.82,1,1.6,0.6,168.4,26,7.9,0.68
,"Brandon Rush
(GSW)",Add,G,29,6,2,13,7,0.5,1,0,0,0.86,0,0.67,0,0.5,1.5,234.8,11,7.8,0.6
,"Donald Sloan
(IND)",Add,G,26,3,22,12,3.7,1.3,1.7,0,0.2,0.34,0.37,0.8,0.1,1.1,0.6,162.4,6,7.8,0.65
